Country,EdLevel,YearsCodePro,Salary
United States,Bachelor’s degree,13.0,116000.0
United Kingdom,Master’s degree,4.0,32315.0
United Kingdom,Bachelor’s degree,2.0,40070.0
Spain,Less than a Bachelors,7.0,14268.0
Netherlands,Less than a Bachelors,20.0,38916.0
United States,Less than a Bachelors,1.0,66000.0
United States,Bachelor’s degree,3.0,79000.0
United States,Bachelor’s degree,3.0,83400.0
Germany,Post grad,20.0,91883.0
Canada,Bachelor’s degree,10.0,71093.0
United Kingdom,Bachelor’s degree,2.0,38778.0
Canada,Bachelor’s degree,10.0,31764.0
United Kingdom,Less than a Bachelors,3.0,77556.0
Italy,Bachelor’s degree,12.0,97288.0
United States,Master’s degree,20.0,106000.0
United States,Bachelor’s degree,10.0,130000.0
United States,Master’s degree,29.0,135000.0
Brazil,Master’s degree,6.0,55893.0
France,Master’s degree,2.0,36753.0
France,Master’s degree,4.0,37834.0
United Kingdom,Post grad,28.0,74970.0
United States,Bachelor’s degree,8.0,125000.0
United States,Bachelor’s degree,4.0,52000.0
Canada,Less than a Bachelors,7.0,103615.0
United Kingdom,Bachelor’s degree,6.0,90482.0
United States,Bachelor’s degree,23.0,160000.0
Brazil,Bachelor’s degree,15.0,16488.0
United Kingdom,Less than a Bachelors,13.0,94359.0
United States,Post grad,15.0,250000.0
United States,Bachelor’s degree,7.0,94500.0
United States,Less than a Bachelors,25.0,117000.0
United States,Bachelor’s degree,2.0,130000.0
France,Bachelor’s degree,10.0,57292.0
Canada,Less than a Bachelors,2.0,37816.0
Canada,Less than a Bachelors,25.0,71850.0
Canada,Bachelor’s degree,4.0,75631.0
Canada,Bachelor’s degree,9.0,79413.0
United States,Less than a Bachelors,11.0,93000.0
United States,Bachelor’s degree,0.5,40000.0
Germany,Post grad,3.0,46044.0
United States,Bachelor’s degree,5.0,148000.0
United States,Master’s degree,21.0,130000.0
United States,Master’s degree,3.0,65000.0
United States,Bachelor’s degree,2.0,78800.0
United Kingdom,Master’s degree,8.0,116333.0
United States,Bachelor’s degree,16.0,145000.0
Germany,Less than a Bachelors,6.0,61616.0
United States,Bachelor’s degree,5.0,145000.0
United Kingdom,Bachelor’s degree,5.0,109871.0
United States,Bachelor’s degree,4.0,145000.0
United States,Less than a Bachelors,4.0,80000.0
United States,Bachelor’s degree,2.0,115000.0
